movieId,title,genres,Year,Movies,Genre
29,"City of Lost Children, The (Cit̩ des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,"City of Lost Children, The (Cit̩ des enfants perdus, La)",Adventure
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime
31,Dangerous Minds (1995),Drama,1995,Dangerous Minds,Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery
33,Wings of Courage (1995),Adventure|Romance|IMAX,1995,Wings of Courage,Adventure
34,Babe (1995),Children|Drama,1995,Babe,Children
35,Carrington (1995),Drama|Romance,1995,Carrington,Drama
36,Dead Man Walking (1995),Crime|Drama,1995,Dead Man Walking,Crime
39,Clueless (1995),Comedy|Romance,1995,Clueless,Comedy
40,"Cry, the Beloved Country (1995)",Drama,1995,"Cry, the Beloved Country",Drama
41,Richard III (1995),Drama|War,1995,Richard III,Drama
42,Dead Presidents (1995),Action|Crime|Drama,1995,Dead Presidents,Action
43,Restoration (1995),Drama,1995,Restoration,Drama
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,Mortal Kombat,Action
45,To Die For (1995),Comedy|Drama|Thriller,1995,To Die For,Comedy
46,How to Make an American Quilt (1995),Drama|Romance,1995,How to Make an American Quilt,Drama
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,Seven (a.k.a. Se7en),Mystery
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995,Pocahontas,Animation
49,When Night Is Falling (1995),Drama|Romance,1995,When Night Is Falling,Drama
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,"Usual Suspects, The",Crime
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995,Mighty Aphrodite,Comedy
53,Lamerica (1994),Adventure|Drama,1994,Lamerica,Adventure
54,"Big Green, The (1995)",Children|Comedy,1995,"Big Green, The",Children
55,Georgia (1995),Drama,1995,Georgia,Drama
57,Home for the Holidays (1995),Drama,1995,Home for the Holidays,Drama
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994,"Postman, The (Postino, Il)",Comedy
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,1995,"Confessional, The (Confessionnal, Le)",Drama
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995,"Indian in the Cupboard, The",Adventure
61,Eye for an Eye (1996),Drama|Thriller,1996,Eye for an Eye,Drama
62,Mr. Holland's Opus (1995),Drama,1995,Mr. Holland's Opus,Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy
64,Two if by Sea (1996),Comedy|Romance,1996,Two if by Sea,Comedy
65,Bio-Dome (1996),Comedy,1996,Bio-Dome,Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996,Lawnmower Man 2: Beyond Cyberspace,Action
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995,French Twist (Gazon maudit),Comedy
69,Friday (1995),Comedy,1995,Friday,Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996,From Dusk Till Dawn,Action
71,Fair Game (1995),Action,1995,Fair Game,Action
72,Kicking and Screaming (1995),Comedy|Drama,1995,Kicking and Screaming,Comedy
73,"Mis̩rables, Les (1995)",Drama|War,1995,"Mis̩rables, Les",Drama
74,Bed of Roses (1996),Drama|Romance,1996,Bed of Roses,Drama
75,Big Bully (1996),Comedy|Drama,1996,Big Bully,Comedy
76,Screamers (1995),Action|Sci-Fi|Thriller,1995,Screamers,Action
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,1995,"Crossing Guard, The",Action
79,"Juror, The (1996)",Drama|Thriller,1996,"Juror, The",Drama
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,1995,"White Balloon, The (Badkonake sefid)",Children
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995,Things to Do in Denver When You're Dead,Crime
82,Antonia's Line (Antonia) (1995),Comedy|Drama,1995,Antonia's Line (Antonia),Comedy
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,1995,Once Upon a Time... When We Were Colored,Drama
84,Last Summer in the Hamptons (1995),Comedy|Drama,1995,Last Summer in the Hamptons,Comedy
85,Angels and Insects (1995),Drama|Romance,1995,Angels and Insects,Drama
86,White Squall (1996),Action|Adventure|Drama,1996,White Squall,Action
87,Dunston Checks In (1996),Children|Comedy,1996,Dunston Checks In,Children
88,Black Sheep (1996),Comedy,1996,Black Sheep,Comedy
89,Nick of Time (1995),Action|Thriller,1995,Nick of Time,Action
90,"Journey of August King, The (1995)",Drama,1995,"Journey of August King, The",Drama
92,Mary Reilly (1996),Drama|Horror|Thriller,1996,Mary Reilly,Drama
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995,Vampire in Brooklyn,Comedy
94,Beautiful Girls (1996),Comedy|Drama|Romance,1996,Beautiful Girls,Comedy
95,Broken Arrow (1996),Action|Adventure|Thriller,1996,Broken Arrow,Action
96,In the Bleak Midwinter (1995),Comedy|Drama,1995,In the Bleak Midwinter,Comedy
97,"Hate (Haine, La) (1995)",Crime|Drama,1995,"Hate (Haine, La)",Crime
100,City Hall (1996),Drama|Thriller,1996,City Hall,Drama
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996,Bottle Rocket,Adventure
102,Mr. Wrong (1996),Comedy,1996,Mr. Wrong,Comedy
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,1996,Unforgettable,Mystery
104,Happy Gilmore (1996),Comedy,1996,Happy Gilmore,Comedy
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995,"Bridges of Madison County, The",Drama
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1996,Muppet Treasure Island,Adventure
108,Catwalk (1996),Documentary,1996,Catwalk,Documentary
110,Braveheart (1995),Action|Drama|War,1995,Braveheart,Action
111,Taxi Driver (1976),Crime|Drama|Thriller,1976,Taxi Driver,Crime
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,1995,Rumble in the Bronx (Hont faan kui),Action
113,Before and After (1996),Drama|Mystery,1996,Before and After,Drama
114,Margaret's Museum (1995),Drama,1995,Margaret's Museum,Drama
115,"Happiness Is in the Field (Bonheur est dans le pr̩, Le) (1995)",Comedy,1995,"Happiness Is in the Field (Bonheur est dans le pr̩, Le)",Comedy
116,Anne Frank Remembered (1995),Documentary,1995,Anne Frank Remembered,Documentary
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,1995,"Young Poisoner's Handbook, The",Crime
118,If Lucy Fell (1996),Comedy|Romance,1996,If Lucy Fell,Comedy
121,"Boys of St. Vincent, The (1992)",Drama,1992,"Boys of St. Vincent, The",Drama
122,Boomerang (1992),Comedy|Romance,1992,Boomerang,Comedy
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,1994,Chungking Express (Chung Hing sam lam),Drama
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,1995,"Star Maker, The (Uomo delle stelle, L')",Drama
125,Flirting With Disaster (1996),Comedy,1996,Flirting With Disaster,Comedy
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,1994,"NeverEnding Story III, The",Adventure
129,Pie in the Sky (1996),Comedy|Romance,1996,Pie in the Sky,Comedy
131,Frankie Starlight (1995),Drama|Romance,1995,Frankie Starlight,Drama
132,Jade (1995),Thriller,1995,Jade,Thriller
135,Down Periscope (1996),Comedy,1996,Down Periscope,Comedy
137,Man of the Year (1995),Documentary,1995,Man of the Year,Documentary
138,"Neon Bible, The (1995)",Drama,1995,"Neon Bible, The",Drama
140,Up Close and Personal (1996),Drama|Romance,1996,Up Close and Personal,Drama
141,"Birdcage, The (1996)",Comedy,1996,"Birdcage, The",Comedy
144,"Brothers McMullen, The (1995)",Comedy,1995,"Brothers McMullen, The",Comedy
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,1995,Bad Boys,Action
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,1995,"Amazing Panda Adventure, The",Adventure
147,"Basketball Diaries, The (1995)",Drama,1995,"Basketball Diaries, The",Drama
149,Amateur (1994),Crime|Drama|Thriller,1994,Amateur,Crime
150,Apollo 13 (1995),Adventure|Drama|IMAX,1995,Apollo 13,Adventure
151,Rob Roy (1995),Action|Drama|Romance|War,1995,Rob Roy,Action
152,"Addiction, The (1995)",Drama|Horror,1995,"Addiction, The",Drama
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995,Batman Forever,Action
154,Beauty of the Day (Belle de jour) (1967),Drama,1967,Beauty of the Day (Belle de jour),Drama
155,Beyond Rangoon (1995),Adventure|Drama|War,1995,Beyond Rangoon,Adventure
156,Blue in the Face (1995),Comedy|Drama,1995,Blue in the Face,Comedy
157,Canadian Bacon (1995),Comedy|War,1995,Canadian Bacon,Comedy
158,Casper (1995),Adventure|Children,1995,Casper,Adventure
159,Clockers (1995),Crime|Drama|Mystery,1995,Clockers,Crime
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995,Congo,Action
161,Crimson Tide (1995),Drama|Thriller|War,1995,Crimson Tide,Drama
162,Crumb (1994),Documentary,1994,Crumb,Documentary
163,Desperado (1995),Action|Romance|Western,1995,Desperado,Action
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995,Devil in a Blue Dress,Crime
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1995,Die Hard: With a Vengeance,Action
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,1995,"Doom Generation, The",Comedy
168,First Knight (1995),Action|Drama|Romance,1995,First Knight,Action
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,1995,Free Willy 2: The Adventure Home,Adventure
170,Hackers (1995),Action|Adventure|Crime|Thriller,1995,Hackers,Action
171,Jeffrey (1995),Comedy|Drama,1995,Jeffrey,Comedy
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995,Johnny Mnemonic,Action
173,Judge Dredd (1995),Action|Crime|Sci-Fi,1995,Judge Dredd,Action
174,Jury Duty (1995),Comedy,1995,Jury Duty,Comedy
175,Kids (1995),Drama,1995,Kids,Drama
176,Living in Oblivion (1995),Comedy,1995,Living in Oblivion,Comedy
177,Lord of Illusions (1995),Horror,1995,Lord of Illusions,Horror
178,Love & Human Remains (1993),Comedy|Drama,1993,Love & Human Remains,Comedy
179,Mad Love (1995),Drama|Romance,1995,Mad Love,Drama
180,Mallrats (1995),Comedy|Romance,1995,Mallrats,Comedy
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1995,Mighty Morphin Power Rangers: The Movie,Action
182,Moonlight and Valentino (1995),Drama|Romance,1995,Moonlight and Valentino,Drama
183,Mute Witness (1994),Comedy|Horror|Thriller,1994,Mute Witness,Comedy
184,Nadja (1994),Drama,1994,Nadja,Drama
185,"Net, The (1995)",Action|Crime|Thriller,1995,"Net, The",Action
186,Nine Months (1995),Comedy|Romance,1995,Nine Months,Comedy
187,Party Girl (1995),Comedy,1995,Party Girl,Comedy
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,1995,"Prophecy, The",Fantasy
190,Safe (1995),Thriller,1995,Safe,Thriller
191,"Scarlet Letter, The (1995)",Drama|Romance,1995,"Scarlet Letter, The",Drama
193,Showgirls (1995),Drama,1995,Showgirls,Drama
194,Smoke (1995),Comedy|Drama,1995,Smoke,Comedy
195,Something to Talk About (1995),Comedy|Drama|Romance,1995,Something to Talk About,Comedy
196,Species (1995),Horror|Sci-Fi,1995,Species,Horror
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995,Strange Days,Action
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,1964,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama
200,"Tie That Binds, The (1995)",Thriller,1995,"Tie That Binds, The",Thriller
201,Three Wishes (1995),Drama|Fantasy,1995,Three Wishes,Drama
202,Total Eclipse (1995),Drama|Romance,1995,Total Eclipse,Drama
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,1995,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy
204,Under Siege 2: Dark Territory (1995),Action,1995,Under Siege 2: Dark Territory,Action
205,Unstrung Heroes (1995),Comedy|Drama,1995,Unstrung Heroes,Comedy
206,Unzipped (1995),Documentary,1995,Unzipped,Documentary
207,"Walk in the Clouds, A (1995)",Drama|Romance,1995,"Walk in the Clouds, A",Drama
208,Waterworld (1995),Action|Adventure|Sci-Fi,1995,Waterworld,Action
209,White Man's Burden (1995),Drama,1995,White Man's Burden,Drama
210,Wild Bill (1995),Western,1995,Wild Bill,Western
211,"Browning Version, The (1994)",Drama,1994,"Browning Version, The",Drama
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,1995,Bushwhacked,Adventure
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,1994,Burnt by the Sun (Utomlyonnye solntsem),Drama
214,Before the Rain (Pred dozhdot) (1994),Drama|War,1994,Before the Rain (Pred dozhdot),Drama
215,Before Sunrise (1995),Drama|Romance,1995,Before Sunrise,Drama
216,Billy Madison (1995),Comedy,1995,Billy Madison,Comedy
217,"Babysitter, The (1995)",Drama|Thriller,1995,"Babysitter, The",Drama
218,Boys on the Side (1995),Comedy|Drama,1995,Boys on the Side,Comedy
219,"Cure, The (1995)",Drama,1995,"Cure, The",Drama
220,Castle Freak (1995),Horror,1995,Castle Freak,Horror
222,Circle of Friends (1995),Drama|Romance,1995,Circle of Friends,Drama
223,Clerks (1994),Comedy,1994,Clerks,Comedy
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1995,Don Juan DeMarco,Comedy
225,Disclosure (1994),Drama|Thriller,1994,Disclosure,Drama
226,Dream Man (1995),Thriller,1995,Dream Man,Thriller
227,Drop Zone (1994),Action|Thriller,1994,Drop Zone,Action
228,Destiny Turns on the Radio (1995),Comedy,1995,Destiny Turns on the Radio,Comedy
229,Death and the Maiden (1994),Drama|Thriller,1994,Death and the Maiden,Drama
230,Dolores Claiborne (1995),Drama|Thriller,1995,Dolores Claiborne,Drama
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,1994,Dumb & Dumber (Dumb and Dumber),Adventure
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,1994,Eat Drink Man Woman (Yin shi nan nu),Comedy
233,Exotica (1994),Drama,1994,Exotica,Drama
234,Exit to Eden (1994),Comedy,1994,Exit to Eden,Comedy
235,Ed Wood (1994),Comedy|Drama,1994,Ed Wood,Comedy
236,French Kiss (1995),Action|Comedy|Romance,1995,French Kiss,Action
237,Forget Paris (1995),Comedy|Romance,1995,Forget Paris,Comedy
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,1995,Far From Home: The Adventures of Yellow Dog,Adventure
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,1995,"Goofy Movie, A",Animation
240,Hideaway (1995),Thriller,1995,Hideaway,Thriller
241,Fluke (1995),Children|Drama,1995,Fluke,Children
242,Farinelli: il castrato (1994),Drama|Musical,1994,Farinelli: il castrato,Drama
243,Gordy (1995),Children|Comedy|Fantasy,1995,Gordy,Children
245,The Glass Shield (1994),Crime|Drama,1994,The Glass Shield,Crime
246,Hoop Dreams (1994),Documentary,1994,Hoop Dreams,Documentary
247,Heavenly Creatures (1994),Crime|Drama,1994,Heavenly Creatures,Crime
248,Houseguest (1994),Comedy,1994,Houseguest,Comedy
249,Immortal Beloved (1994),Drama|Romance,1994,Immortal Beloved,Drama
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,1995,Heavyweights (Heavy Weights),Children
251,"Hunted, The (1995)",Action,1995,"Hunted, The",Action
252,I.Q. (1994),Comedy|Romance,1994,I.Q.,Comedy
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,1994,Interview with the Vampire: The Vampire Chronicles,Drama
254,Jefferson in Paris (1995),Drama,1995,Jefferson in Paris,Drama
255,"Jerky Boys, The (1995)",Comedy,1995,"Jerky Boys, The",Comedy
256,Junior (1994),Comedy|Sci-Fi,1994,Junior,Comedy
257,Just Cause (1995),Mystery|Thriller,1995,Just Cause,Mystery
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,1995,"Kid in King Arthur's Court, A",Adventure
259,Kiss of Death (1995),Crime|Drama|Thriller,1995,Kiss of Death,Crime
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,1977,Star Wars: Episode IV - A New Hope,Action
261,Little Women (1994),Drama,1994,Little Women,Drama
262,"Little Princess, A (1995)",Children|Drama,1995,"Little Princess, A",Children
263,Ladybird Ladybird (1994),Drama,1994,Ladybird Ladybird,Drama
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,1992,Like Water for Chocolate (Como agua para chocolate),Drama
266,Legends of the Fall (1994),Drama|Romance|War|Western,1994,Legends of the Fall,Drama
267,Major Payne (1995),Comedy,1995,Major Payne,Comedy
268,Little Odessa (1994),Crime|Drama,1994,Little Odessa,Crime
269,My Crazy Life (Mi vida loca) (1993),Drama,1993,My Crazy Life (Mi vida loca),Drama
270,Love Affair (1994),Drama|Romance,1994,Love Affair,Drama
271,Losing Isaiah (1995),Drama,1995,Losing Isaiah,Drama
272,"Madness of King George, The (1994)",Comedy|Drama,1994,"Madness of King George, The",Comedy
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,1994,Mary Shelley's Frankenstein (Frankenstein),Drama
274,Man of the House (1995),Comedy,1995,Man of the House,Comedy
275,Mixed Nuts (1994),Comedy,1994,Mixed Nuts,Comedy
276,Milk Money (1994),Comedy|Romance,1994,Milk Money,Comedy
277,Miracle on 34th Street (1994),Drama,1994,Miracle on 34th Street,Drama
278,Miami Rhapsody (1995),Comedy,1995,Miami Rhapsody,Comedy
279,My Family (1995),Drama,1995,My Family,Drama
280,Murder in the First (1995),Drama|Thriller,1995,Murder in the First,Drama
281,Nobody's Fool (1994),Comedy|Drama|Romance,1994,Nobody's Fool,Comedy
282,Nell (1994),Drama,1994,Nell,Drama
283,New Jersey Drive (1995),Crime|Drama,1995,New Jersey Drive,Crime
288,Natural Born Killers (1994),Action|Crime|Thriller,1994,Natural Born Killers,Action
289,Only You (1994),Comedy|Romance,1994,Only You,Comedy
290,Once Were Warriors (1994),Crime|Drama,1994,Once Were Warriors,Crime
291,Poison Ivy II (1996),Drama|Thriller,1996,Poison Ivy II,Drama
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,1995,Outbreak,Action
293,L̩on: The Professional (a.k.a. The Professional) (L̩on) (1994),Action|Crime|Drama|Thriller,1994,L̩on: The Professional (a.k.a. The Professional) (L̩on),Action
294,"Perez Family, The (1995)",Comedy|Romance,1995,"Perez Family, The",Comedy
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,1994,Pulp Fiction,Comedy
298,Pushing Hands (Tui shou) (1992),Drama,1992,Pushing Hands (Tui shou),Drama
299,Priest (1994),Drama,1994,Priest,Drama
300,Quiz Show (1994),Drama,1994,Quiz Show,Drama
301,Picture Bride (Bijo photo) (1994),Drama|Romance,1994,Picture Bride (Bijo photo),Drama
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,1994,"Queen Margot (Reine Margot, La)",Drama
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,1995,"Quick and the Dead, The",Action
304,Roommates (1995),Comedy|Drama,1995,Roommates,Comedy
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,1994,Ready to Wear (Pret-A-Porter),Comedy
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,1994,Three Colors: Red (Trois couleurs: Rouge),Drama
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,1993,Three Colors: Blue (Trois couleurs: Bleu),Drama
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,1994,Three Colors: White (Trzy kolory: Bialy),Comedy
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama,1994,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng)",Drama
312,Stuart Saves His Family (1995),Comedy,1995,Stuart Saves His Family,Comedy
313,"Swan Princess, The (1994)",Animation|Children,1994,"Swan Princess, The",Animation
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,1994,"Secret of Roan Inish, The",Children
315,"Specialist, The (1994)",Action|Drama|Thriller,1994,"Specialist, The",Action
316,Stargate (1994),Action|Adventure|Sci-Fi,1994,Stargate,Action
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,1994,"Santa Clause, The",Comedy
318,"Shawshank Redemption, The (1994)",Crime|Drama,1994,"Shawshank Redemption, The",Crime
319,Shallow Grave (1994),Comedy|Drama|Thriller,1994,Shallow Grave,Comedy
320,Suture (1993),Film-Noir|Thriller,1993,Suture,Film-Noir
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,1993,Strawberry and Chocolate (Fresa y chocolate),Drama
322,Swimming with Sharks (1995),Comedy|Drama,1995,Swimming with Sharks,Comedy
324,"Sum of Us, The (1994)",Comedy|Drama,1994,"Sum of Us, The",Comedy
325,National Lampoon's Senior Trip (1995),Comedy,1995,National Lampoon's Senior Trip,Comedy
326,To Live (Huozhe) (1994),Drama,1994,To Live (Huozhe),Drama
327,Tank Girl (1995),Action|Comedy|Sci-Fi,1995,Tank Girl,Action
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,1995,Tales from the Crypt Presents: Demon Knight,Horror
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,1994,Star Trek: Generations,Adventure
330,Tales from the Hood (1995),Action|Crime|Horror,1995,Tales from the Hood,Action
331,Tom & Viv (1994),Drama,1994,Tom & Viv,Drama
332,Village of the Damned (1995),Horror|Sci-Fi,1995,Village of the Damned,Horror
333,Tommy Boy (1995),Comedy,1995,Tommy Boy,Comedy
334,Vanya on 42nd Street (1994),Drama,1994,Vanya on 42nd Street,Drama
335,Underneath (1995),Mystery|Thriller,1995,Underneath,Mystery
336,"Walking Dead, The (1995)",Drama|War,1995,"Walking Dead, The",Drama
337,What's Eating Gilbert Grape (1993),Drama,1993,What's Eating Gilbert Grape,Drama
338,Virtuosity (1995),Action|Sci-Fi|Thriller,1995,Virtuosity,Action
339,While You Were Sleeping (1995),Comedy|Romance,1995,While You Were Sleeping,Comedy
340,"War, The (1994)",Adventure|Drama|War,1994,"War, The",Adventure
341,Double Happiness (1994),Drama,1994,Double Happiness,Drama
342,Muriel's Wedding (1994),Comedy,1994,Muriel's Wedding,Comedy
343,"Baby-Sitters Club, The (1995)",Children,1995,"Baby-Sitters Club, The",Children
344,Ace Ventura: Pet Detective (1994),Comedy,1994,Ace Ventura: Pet Detective,Comedy
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,1994,"Adventures of Priscilla, Queen of the Desert, The",Comedy
346,Backbeat (1993),Drama|Musical,1993,Backbeat,Drama
347,Bitter Moon (1992),Drama|Film-Noir|Romance,1992,Bitter Moon,Drama
348,Bullets Over Broadway (1994),Comedy,1994,Bullets Over Broadway,Comedy
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,1994,Clear and Present Danger,Action
350,"Client, The (1994)",Drama|Mystery|Thriller,1994,"Client, The",Drama
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,1994,"Corrina, Corrina",Comedy
352,Crooklyn (1994),Comedy|Drama,1994,Crooklyn,Comedy
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,1994,"Crow, The",Action
354,Cobb (1994),Drama,1994,Cobb,Drama
355,"Flintstones, The (1994)",Children|Comedy|Fantasy,1994,"Flintstones, The",Children
356,Forrest Gump (1994),Comedy|Drama|Romance|War,1994,Forrest Gump,Comedy
357,Four Weddings and a Funeral (1994),Comedy|Romance,1994,Four Weddings and a Funeral,Comedy
358,Higher Learning (1995),Drama,1995,Higher Learning,Drama
360,I Love Trouble (1994),Action|Comedy,1994,I Love Trouble,Action
361,It Could Happen to You (1994),Comedy|Drama|Romance,1994,It Could Happen to You,Comedy
362,"Jungle Book, The (1994)",Adventure|Children|Romance,1994,"Jungle Book, The",Adventure
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,1993,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",Documentary
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,1994,"Lion King, The",Adventure
365,Little Buddha (1993),Drama,1993,Little Buddha,Drama
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,1994,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",Drama
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,1994,"Mask, The",Action
368,Maverick (1994),Adventure|Comedy|Western,1994,Maverick,Adventure
369,Mrs. Parker and the Vicious Circle (1994),Drama,1994,Mrs. Parker and the Vicious Circle,Drama
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,1994,Naked Gun 33 1/3: The Final Insult,Action
